t_s,x_km,v_kmh,a_ms2,P_traction_kW,P_lev_kW,P_aux_kW,E_net_kWh
0.0,0.0,0.0,0.25,0.0,0.75,1.0,0.00024305555555555555
10.0,0.04525,33.300000000000004,1.0,7.708536635365249,0.75,1.0,0.015560764307375557
20.0,0.19025,69.3,1.0,16.043499017890415,0.75,1.0,0.053989123536674635
30.0,0.43525,105.3,1.0,24.38142827033428,0.75,1.0,0.11557412686151561
40.0,0.78025,141.3,1.0,32.723865623823436,0.75,1.0,0.20032626321595448
50.0,1.22525,177.3,1.0,41.07235230948449,0.75,1.0,0.30826030273162114
60.0,1.77025,213.3,1.0,49.42842955844403,0.75,1.0,0.4393952967377193
70.0,2.41525,249.3,1.0,57.793638601828654,0.75,1.0,0.5937545777610267
80.0,3.16025,285.3,1.0,66.16952067076498,0.75,1.0,0.7713657595258948
90.0,4.00525,321.3,1.0,74.55761699637956,0.75,1.0,0.9722607369542494
100.0,4.95025,357.3,1.0,82.95946880979905,0.75,1.0,1.1964756861655896
110.0,5.99525,393.3,1.0,91.37661734215,0.75,1.0,1.4440510644769886
120.0,7.14025,429.3,1.0,99.81060382455902,0.75,1.0,1.7150316104030925
130.0,8.38525,465.3,1.0,108.26296948815268,0.75,1.0,2.009466343656123
140.0,9.73025,501.3,1.0,116.73525556405765,0.75,1.0,2.327408565145875
150.0,11.17525,537.3000000000001,1.0,125.2290032834005,0.75,1.0,2.6689158569797167
160.0,12.72025,573.3000000000001,1.0,133.74575387730775,0.75,1.0,3.0340500824625907
170.0,14.36525,609.3000000000001,1.0,142.2870485769061,0.75,1.0,3.4228773860970128
180.0,16.11025,645.3000000000001,1.0,150.85442861332206,0.75,1.0,3.8354681935830754
190.0,17.95525,681.3000000000001,1.0,159.44943521768232,0.75,1.0,4.271897211818442
200.0,19.90025,717.3000000000001,1.0,168.0736096211134,0.75,1.0,4.73224342889835
210.0,21.94525,753.3000000000001,1.0,176.72849305474193,0.75,1.0,5.216590114115612
220.0,24.09025,789.3000000000001,1.0,185.4156267496945,0.75,1.0,5.725024817960613
230.0,26.33525,825.3000000000001,1.0,194.13655193709775,0.75,1.0,6.257639372121314
240.0,28.68025,861.3000000000001,1.0,202.89280984807817,0.75,1.0,6.814529889483249
250.0,31.12525,897.3000000000001,1.0,211.68594171376245,0.75,1.0,7.395796764129522
260.0,33.67025,933.3000000000001,1.0,220.51748876527714,0.75,1.0,8.00154467134082
270.0,36.31525,969.3000000000001,1.0,229.3889922337489,0.75,1.0,8.631882567595392
280.0,39.06025,1005.3000000000001,1.0,238.3019933503043,0.75,1.0,9.28692369056907
290.0,41.90525,1041.3,1.0,247.25803334606985,0.75,1.0,9.96678555913526
300.0,44.85025,1077.3,1.0,256.2586534521722,0.75,1.0,10.671589973364934
310.0,47.89525,1113.3,1.0,265.3053948997381,0.75,1.0,11.401463014526646
320.0,51.04025,1149.3,1.0,274.39979891989384,0.75,1.0,12.15653504508652
330.0,54.267125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,12.46436170944411
340.0,57.502125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,12.493379479917234
350.0,60.737125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,12.522397250390355
360.0,63.972125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,12.551415020863478
