v_m_s,v_kmh,mach,F_drag_N@10Pa,F_drag_N@100Pa,F_drag_N@1000Pa,F_drag_N@101325Pa,P_kW@10Pa,P_kW@100Pa,P_kW@1000Pa,P_kW@101325Pa
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,36.0,0.029,0.0,0.02,0.23,23.42,0.0,0.0,0.0,0.23
20.0,72.0,0.058,0.01,0.09,0.92,93.7,0.0,0.0,0.02,1.87
30.0,108.0,0.086,0.02,0.21,2.08,210.82,0.0,0.01,0.06,6.32
40.0,144.0,0.115,0.04,0.37,3.7,374.8,0.0,0.01,0.15,14.99
50.0,180.0,0.144,0.06,0.58,5.78,585.62,0.0,0.03,0.29,29.28
60.0,216.0,0.173,0.08,0.83,8.32,843.29,0.0,0.05,0.5,50.6
70.0,252.0,0.202,0.11,1.13,11.33,1147.81,0.01,0.08,0.79,80.35
80.0,288.0,0.23,0.15,1.48,14.8,1499.19,0.01,0.12,1.18,119.93
90.0,324.0,0.259,0.19,1.87,18.73,1897.41,0.02,0.17,1.69,170.77
100.0,360.0,0.288,0.23,2.31,23.12,2342.48,0.02,0.23,2.31,234.25
110.0,396.0,0.317,0.28,2.8,27.97,2834.4,0.03,0.31,3.08,311.78
120.0,432.0,0.346,0.33,3.33,33.29,3373.17,0.04,0.4,3.99,404.78
130.0,468.0,0.374,0.39,3.91,39.07,3958.79,0.05,0.51,5.08,514.64
140.0,504.0,0.403,0.45,4.53,45.31,4591.26,0.06,0.63,6.34,642.78
150.0,540.0,0.432,0.52,5.2,52.02,5270.58,0.08,0.78,7.8,790.59
160.0,576.0,0.461,0.59,5.92,59.18,5996.75,0.09,0.95,9.47,959.48
170.0,612.0,0.49,0.67,6.68,66.81,6769.76,0.11,1.14,11.36,1150.86
180.0,648.0,0.518,0.75,7.49,74.9,7589.63,0.13,1.35,13.48,1366.13
190.0,684.0,0.547,0.83,8.35,83.46,8456.35,0.16,1.59,15.86,1606.71
200.0,720.0,0.576,0.92,9.25,92.47,9369.91,0.18,1.85,18.49,1873.98
210.0,756.0,0.605,1.02,10.2,101.95,10330.33,0.21,2.14,21.41,2169.37
220.0,792.0,0.634,1.12,11.19,111.89,11337.6,0.25,2.46,24.62,2494.27
230.0,828.0,0.662,1.22,12.23,122.3,12391.71,0.28,2.81,28.13,2850.09
240.0,864.0,0.691,1.33,13.32,133.16,13492.68,0.32,3.2,31.96,3238.24
250.0,900.0,0.72,1.44,14.45,144.49,14640.49,0.36,3.61,36.12,3660.12
260.0,936.0,0.749,1.56,15.63,156.28,15835.16,0.41,4.06,40.63,4117.14
270.0,972.0,0.778,1.69,16.85,168.53,17076.67,0.46,4.55,45.5,4610.7
280.0,1008.0,0.806,1.81,18.12,181.25,18365.03,0.51,5.07,50.75,5142.21
290.0,1044.0,0.835,1.94,19.44,194.43,19700.25,0.56,5.64,56.38,5713.07
300.0,1080.0,0.864,2.08,20.81,208.07,21082.31,0.62,6.24,62.42,6324.69
310.0,1116.0,0.893,2.22,22.22,222.17,22511.22,0.69,6.89,68.87,6978.48
320.0,1152.0,0.922,2.37,23.67,236.73,23986.98,0.76,7.58,75.75,7675.83
330.0,1188.0,0.95,2.52,25.18,251.76,25509.59,0.83,8.31,83.08,8418.17
340.0,1224.0,0.979,2.67,26.72,267.25,27079.05,0.91,9.09,90.86,9206.88
350.0,1260.0,1.008,2.83,28.32,283.2,28695.36,0.99,9.91,99.12,10043.38
