v_kmh,tph_ae2,tph_ae3,tph_ae5
100.0,106.2,123.0,140.9
105.5,103.9,120.9,139.2
111.1,101.6,118.9,137.6
116.6,99.5,116.9,136.0
122.1,97.4,115.0,134.4
127.6,95.4,113.1,132.9
133.2,93.5,111.4,131.4
138.7,91.7,109.6,129.9
144.2,89.9,107.9,128.5
149.7,88.2,106.3,127.1
155.3,86.6,104.7,125.8
160.8,85.0,103.2,124.4
166.3,83.5,101.7,123.1
171.9,82.1,100.2,121.8
177.4,80.7,98.8,120.6
182.9,79.3,97.5,119.4
188.4,78.0,96.1,118.2
194.0,76.7,94.8,117.0
199.5,75.5,93.6,115.8
205.0,74.3,92.3,114.7
210.6,73.1,91.1,113.6
216.1,72.0,90.0,112.5
221.6,70.9,88.8,111.4
227.1,69.8,87.7,110.4
232.7,68.8,86.7,109.3
238.2,67.8,85.6,108.3
243.7,66.9,84.6,107.3
249.2,65.9,83.6,106.4
254.8,65.0,82.6,105.4
260.3,64.1,81.6,104.5
265.8,63.2,80.7,103.5
271.4,62.4,79.8,102.6
276.9,61.6,78.9,101.7
282.4,60.8,78.0,100.9
287.9,60.0,77.2,100.0
293.5,59.3,76.3,99.2
299.0,58.5,75.5,98.3
304.5,57.8,74.7,97.5
310.1,57.1,73.9,96.7
315.6,56.4,73.1,95.9
321.1,55.7,72.4,95.1
326.6,55.1,71.7,94.4
332.2,54.4,70.9,93.6
337.7,53.8,70.2,92.9
343.2,53.2,69.5,92.1
348.7,52.6,68.8,91.4
354.3,52.0,68.2,90.7
359.8,51.4,67.5,90.0
365.3,50.9,66.9,89.3
370.9,50.3,66.3,88.7
376.4,49.8,65.6,88.0
381.9,49.3,65.0,87.3
387.4,48.8,64.4,86.7
393.0,48.3,63.8,86.1
398.5,47.8,63.3,85.4
404.0,47.3,62.7,84.8
409.5,46.8,62.2,84.2
415.1,46.4,61.6,83.6
420.6,45.9,61.1,83.0
426.1,45.5,60.5,82.4
431.7,45.0,60.0,81.9
437.2,44.6,59.5,81.3
442.7,44.2,59.0,80.7
448.2,43.8,58.5,80.2
453.8,43.4,58.0,79.6
459.3,43.0,57.6,79.1
464.8,42.6,57.1,78.6
470.4,42.2,56.6,78.0
475.9,41.8,56.2,77.5
481.4,41.4,55.7,77.0
486.9,41.1,55.3,76.5
492.5,40.7,54.9,76.0
498.0,40.4,54.5,75.5
503.5,40.0,54.0,75.0
509.0,39.7,53.6,74.6
514.6,39.4,53.2,74.1
520.1,39.0,52.8,73.6
525.6,38.7,52.4,73.2
531.2,38.4,52.0,72.7
536.7,38.1,51.7,72.3
542.2,37.8,51.3,71.8
547.7,37.5,50.9,71.4
553.3,37.2,50.5,71.0
558.8,36.9,50.2,70.5
564.3,36.6,49.8,70.1
569.8,36.3,49.5,69.7
575.4,36.0,49.1,69.3
580.9,35.8,48.8,68.9
586.4,35.5,48.5,68.5
592.0,35.2,48.1,68.1
597.5,35.0,47.8,67.7
603.0,34.7,47.5,67.3
608.5,34.4,47.2,66.9
614.1,34.2,46.8,66.5
619.6,33.9,46.5,66.1
625.1,33.7,46.2,65.8
630.7,33.5,45.9,65.4
636.2,33.2,45.6,65.0
641.7,33.0,45.3,64.7
647.2,32.8,45.0,64.3
652.8,32.5,44.8,64.0
658.3,32.3,44.5,63.6
663.8,32.1,44.2,63.3
669.3,31.9,43.9,63.0
674.9,31.7,43.6,62.6
680.4,31.4,43.4,62.3
685.9,31.2,43.1,62.0
691.5,31.0,42.8,61.6
697.0,30.8,42.6,61.3
702.5,30.6,42.3,61.0
708.0,30.4,42.1,60.7
713.6,30.2,41.8,60.4
719.1,30.0,41.6,60.1
724.6,29.8,41.3,59.7
730.2,29.7,41.1,59.4
735.7,29.5,40.9,59.1
741.2,29.3,40.6,58.8
746.7,29.1,40.4,58.6
752.3,28.9,40.2,58.3
757.8,28.7,39.9,58.0
763.3,28.6,39.7,57.7
768.8,28.4,39.5,57.4
774.4,28.2,39.3,57.1
779.9,28.1,39.0,56.8
785.4,27.9,38.8,56.6
791.0,27.7,38.6,56.3
796.5,27.6,38.4,56.0
802.0,27.4,38.2,55.8
807.5,27.2,38.0,55.5
813.1,27.1,37.8,55.2
818.6,26.9,37.6,55.0
824.1,26.8,37.4,54.7
829.6,26.6,37.2,54.5
835.2,26.5,37.0,54.2
840.7,26.3,36.8,54.0
846.2,26.2,36.6,53.7
851.8,26.0,36.4,53.5
857.3,25.9,36.2,53.2
862.8,25.7,36.0,53.0
868.3,25.6,35.9,52.8
873.9,25.5,35.7,52.5
879.4,25.3,35.5,52.3
884.9,25.2,35.3,52.1
890.5,25.1,35.1,51.8
896.0,24.9,35.0,51.6
901.5,24.8,34.8,51.4
907.0,24.7,34.6,51.1
912.6,24.5,34.5,50.9
918.1,24.4,34.3,50.7
923.6,24.3,34.1,50.5
929.1,24.2,34.0,50.3
934.7,24.0,33.8,50.1
940.2,23.9,33.6,49.8
945.7,23.8,33.5,49.6
951.3,23.7,33.3,49.4
956.8,23.5,33.2,49.2
962.3,23.4,33.0,49.0
967.8,23.3,32.8,48.8
973.4,23.2,32.7,48.6
978.9,23.1,32.5,48.4
984.4,23.0,32.4,48.2
989.9,22.9,32.2,48.0
995.5,22.7,32.1,47.8
1001.0,22.6,31.9,47.6
1006.5,22.5,31.8,47.4
1012.1,22.4,31.7,47.2
1017.6,22.3,31.5,47.0
1023.1,22.2,31.4,46.9
1028.6,22.1,31.2,46.7
1034.2,22.0,31.1,46.5
1039.7,21.9,31.0,46.3
1045.2,21.8,30.8,46.1
1050.8,21.7,30.7,45.9
1056.3,21.6,30.6,45.8
1061.8,21.5,30.4,45.6
1067.3,21.4,30.3,45.4
1072.9,21.3,30.2,45.2
1078.4,21.2,30.0,45.1
1083.9,21.1,29.9,44.9
1089.4,21.0,29.8,44.7
1095.0,20.9,29.7,44.5
1100.5,20.8,29.5,44.4
1106.0,20.7,29.4,44.2
1111.6,20.6,29.3,44.0
1117.1,20.6,29.2,43.9
1122.6,20.5,29.0,43.7
1128.1,20.4,28.9,43.5
1133.7,20.3,28.8,43.4
1139.2,20.2,28.7,43.2
1144.7,20.1,28.6,43.1
1150.3,20.0,28.5,42.9
1155.8,19.9,28.3,42.8
1161.3,19.9,28.2,42.6
1166.8,19.8,28.1,42.4
1172.4,19.7,28.0,42.3
1177.9,19.6,27.9,42.1
1183.4,19.5,27.8,42.0
1188.9,19.4,27.7,41.8
1194.5,19.4,27.6,41.7
1200.0,19.3,27.5,41.5
