skin_K,skin_C,Q_rad_W@A10,Q_rad_W@A15,Q_rad_W@A20
295.0,21.9,-253.8,-380.8,-507.7
297.0,23.9,-153.3,-230.0,-306.7
299.0,25.9,-50.8,-76.1,-101.5
301.0,27.9,53.9,80.9,107.8
303.0,29.9,160.7,241.0,321.4
305.1,31.9,269.6,404.4,539.2
307.1,33.9,380.7,571.0,761.4
309.1,35.9,494.0,741.0,988.0
311.1,37.9,609.5,914.3,1219.1
313.1,39.9,727.3,1091.0,1454.6
315.1,42.0,847.4,1271.1,1694.8
317.1,44.0,969.8,1454.7,1939.6
319.1,46.0,1094.6,1641.8,2189.1
321.1,48.0,1221.7,1832.6,2443.4
323.1,50.0,1351.2,2026.9,2702.5
325.2,52.0,1483.2,2224.8,2966.5
327.2,54.0,1617.7,2426.5,3235.4
329.2,56.0,1754.6,2632.0,3509.3
331.2,58.0,1894.1,2841.2,3788.3
333.2,60.0,2036.2,3054.3,4072.4
