v_kmh,d_stop_km_ae2,t_stop_s_ae2,d_stop_km_ae3,t_stop_s_ae3,d_stop_km_ae5,t_stop_s_ae5
50.0,0.048,6.9,0.032,4.6,0.019,2.8
78.9,0.12,11.0,0.08,7.3,0.048,4.4
107.8,0.224,15.0,0.149,10.0,0.09,6.0
136.7,0.36,19.0,0.24,12.7,0.144,7.6
165.6,0.529,23.0,0.353,15.3,0.212,9.2
194.5,0.73,27.0,0.486,18.0,0.292,10.8
223.4,0.962,31.0,0.642,20.7,0.385,12.4
252.3,1.228,35.0,0.818,23.4,0.491,14.0
281.2,1.525,39.0,1.017,26.0,0.61,15.6
310.1,1.854,43.1,1.236,28.7,0.742,17.2
338.9,2.216,47.1,1.477,31.4,0.886,18.8
367.8,2.61,51.1,1.74,34.1,1.044,20.4
396.7,3.036,55.1,2.024,36.7,1.214,22.0
425.6,3.495,59.1,2.33,39.4,1.398,23.6
454.5,3.985,63.1,2.657,42.1,1.594,25.3
483.4,4.508,67.1,3.005,44.8,1.803,26.9
512.3,5.063,71.2,3.375,47.4,2.025,28.5
541.2,5.65,75.2,3.767,50.1,2.26,30.1
570.1,6.27,79.2,4.18,52.8,2.508,31.7
599.0,6.921,83.2,4.614,55.5,2.768,33.3
627.9,7.605,87.2,5.07,58.1,3.042,34.9
656.8,8.321,91.2,5.547,60.8,3.328,36.5
685.7,9.069,95.2,6.046,63.5,3.628,38.1
714.6,9.85,99.2,6.567,66.2,3.94,39.7
743.5,10.662,103.3,7.108,68.8,4.265,41.3
772.4,11.507,107.3,7.672,71.5,4.603,42.9
801.3,12.384,111.3,8.256,74.2,4.954,44.5
830.2,13.294,115.3,8.863,76.9,5.318,46.1
859.0,14.235,119.3,9.49,79.5,5.694,47.7
887.9,15.209,123.3,10.139,82.2,6.084,49.3
916.8,16.215,127.3,10.81,84.9,6.486,50.9
945.7,17.253,131.4,11.502,87.6,6.901,52.5
974.6,18.323,135.4,12.216,90.2,7.329,54.1
1003.5,19.426,139.4,12.951,92.9,7.77,55.8
1032.4,20.561,143.4,13.707,95.6,8.224,57.4
1061.3,21.728,147.4,14.485,98.3,8.691,59.0
1090.2,22.927,151.4,15.285,100.9,9.171,60.6
1119.1,24.158,155.4,16.106,103.6,9.663,62.2
1148.0,25.422,159.4,16.948,106.3,10.169,63.8
1176.9,26.718,163.5,17.812,109.0,10.687,65.4
